Index,MTOW,OEW,M_fuel,V_cruise,S,b,n_full,n,LD,r,TSFC,TSFC_SL,T_max,full_name,ICAO,IATA,type,notes
221,63100,35220,17135,230,112.3,35.1,120,108,18,6390,14.2,8,180000,Airbus A220-100,BCS1,221,nb,x
223,70900,37080,17135,230,112.3,35.1,150,130,18,6667,14.2,8,200000,Airbus A220-300,BSC3,223,nb,x
AB6,170500,81707,53505,231,260,44.84,0,0,15,7500,18.1,10.5,540000,Airbus A300-600F,A306,AB6,cg,x
313,164000,79200,47940,236,219,43.9,0,0,16.1,9540,17.8,10.5,514800,Airbus A310-300F,A310,313,cg,x
318,68000,39500,19029,230,124,34.1,132,117,16.8,5740,15.4,9.2,200000,Airbus A318,A318,318,nb,x
319,75500,40800,19029,230,124,35.8,156,134,17,6940,15.4,9.2,220000,Airbus A319,A319,319,nb,x
320,77000,42600,21380,230,124,35.8,186,164,16.8,5700,15.4,9.2,220000,Airbus A320,A320,320,nb,x
321,93500,48500,18903,230,124,35.8,236,199,16.4,5930,16.7,10,280000,Airbus A321,A321,321,nb,x
31N,75500,42600,23580,230,124,35.8,160,140,17.6,6950,14.4,7.8,214000,Airbus A319neo,A19N,31N,nb,
32N,79000,44300,23580,230,124,35.8,195,165,17.6,6500,14.4,7.8,240000,Airbus A320neo,A20N,32N,nb,
32Q,97000,50100,25940,230,124,35.8,244,206,17.6,7400,14.4,7.6,295000,Airbus A321neo,A21N,32Q,nb,
332,242000,120600,109185,242,361.6,60.3,406,246,18.6,13450,15.9,9.1,600000,Airbus A330-200,A332,332,wb,x0
333,242000,129400,109185,242,361.6,60.3,440,300,19.3,11750,15.7,9,600000,Airbus A330-300,A333,333,wb,x
338,251000,132000,111272,242,465,64,406,252,19.8,15094,14.3,8,650000,Airbus A330-800,A338,338,wb,
339,251000,135000,111272,242,465,64,460,310,19.8,13334,14.3,8,650000,Airbus A330-900,A339,339,wb,
343,276500,131000,110400,242,363.1,60.3,375,335,17.4,13500,15.4,8.9,555000,Airbus A340-300,A343,343,wb,x
346,380000,174000,155500,242,437.3,63.45,440,380,17,14450,15.8,8.9,1040000,Airbus A340-600,A346,346,wb,x
359,280000,142400,110523,251,442,64.75,440,315,20.1,15000,13.5,7.5,700000,Airbus A350-900,A359,359,wb,x
351,316000,155000,125000,251,464.3,64.75,480,369,20.1,16100,13.5,7.5,860000,Airbus A350-1000,A35K,351,wb,
388,575000,277145,253983,251,845,79.75,853,575,17.8,14800,16,8.7,1336000,Airbus A380-800,A388,388,wb,x
733,62820,32820,15678,221,91.04,28.9,140,126,15.2,4176,18.9,10.2,196000,Boeing 737-300,B733,733,nb,x
734,68040,34820,15678,221,91.04,28.9,159,147,15.2,3820,18.9,10.2,210000,Boeing 737-400,B734,734,nb,x
73P,68040,31000,15678,221,91.04,28.9,0,0,15.2,4175,18.9,10.2,210000,Boeing 737-400F,B734,73P,cg,x
735,60550,31950,15678,221,91.04,28.9,122,110,15.2,4398,18.9,10.2,178000,Boeing 737-500,B735,735,nb,x
73W,70080,37648,20453,232,124.6,34.3,149,140,17.3,5570,17.8,9.5,200000,Boeing 737-700,B737,73W,nb,x
73H,79016,41413,20453,234,124.6,34.3,189,169,17.4,5436,17.8,9.5,220000,Boeing 737-800,B738,73H,nb,x
73J,85139,44677,23326,234,124.6,34.3,220,177,17.6,5460,17.8,9.5,220000,Boeing 737-900,B739,73J,nb,x
7M8,82191,45070,20730,233,127,35.92,210,178,17.8,6570,15.1,8.5,250000,Boeing 737 MAX 8,B38M,7M8,nb,
744,397000,183500,170444,253,525,64.4,550,416,16.8,13490,17.1,9.2,1080000,Boeing 747-400,B744,744,nb,x
74Y,397000,163701,159400,253,525,64.4,0,0,16.8,13490,17.1,9.2,1080000,Boeing 747-400F,B744,74Y,cg,x
752,115660,58440,33922.2,237,185.25,38,228,200,15.6,7250,16.5,9.3,370000,Boeing 757-200,B752,752,nb,x
75F,115660,52430,33290.4,237,185.25,38,0,0,15.6,5435,16.5,9.3,370000,Boeing 757-200F,B752,75F,cg,x
76W,186900,90000,60000,245,283.3,47.57,290,210,17,11070,17.1,9.2,520000,Boeing 767-300ER,B763,76W,wb,x
76Y,186900,86100,60000,245,283.3,47.57,0,0,17,11070,17.1,9.2,520000,Boeing 767-300F,B763,76Y,cg,x
772,297550,138100,137460,248,427.8,60.93,440,313,18.4,13080,15.9,8.2,834000,Boeing 777-200ER,B772,772,wb,x
77X,347815,144379,145538,248,436.8,64.8,0,0,18.4,9200,15.9,8.2,1026000,Boeing 777-200F,B77L,77X,cg,x
77W,351533,167829,145538,248,436.8,64.8,550,408,17.7,13649,16.3,8.4,1026000,Boeing 777-300ER,B77W,77W,wb,x0
788,227930,119950,101323,251,377,60.12,359,242,19.8,15200,14.6,7.4,560000,Boeing 787-8,B788,788,wb,x0
789,254011,128850,101456,251,377,60.12,406,290,19.6,14140,14.6,7.4,640000,Boeing 787-9,B789,789,wb,x0
781,254011,135500,101456,251,377,60.12,440,330,19.4,11910,14.6,7.4,680000,Boeing 787-10,B78X,781,wb,
CR9,38330,21845,8888,230,71.1,24.9,90,76,16.4,2871,19.6,9.5,129000,Bombardier CRJ900,CRJ9,CR9,nb,
E75,40370,21890,9335,221,72.72,26.01,88,78,17.2,4074,19.3,10.1,126000,Embraer E175,E175,E75,nb,x
E90,51800,27837,12971,230,92.53,28.73,114,100,16.7,4537,18.6,9.9,178000,Embraer E190,E190,E90,nb,x
E95,52290,28667,12971,230,92.53,28.73,124,116,16.7,4260,18.6,9.9,178000,Embraer E195,E195,E95,nb,x
290,56400,33000,13500,231,103,33.72,114,104,18.4,5280,15.4,8,180000,Embraer E190 E2,E290,290,nb,
295,62000,35700,13690,231,103,35.13,146,132,18.4,4917,15.4,8,180000,Embraer E195 E2,E295,295,nb,
F70,39915,22673,10500,231,93.5,28.08,85,81,14.8,3410,19.5,12,120000,Fokker 70,F70,F70,nb,x
100,45810,24541,10500,231,93.5,28.08,122,105,14.8,3170,19.5,12,135000,Fokker 100,F100,100,nb,x
GNPS,24041,13835,6489,217,48.35,21.18,50,50,16.3,3148,19.5,12,77680,Generic PAX S,GNPS,GNPS,nb,CRJ2
GNPM,77000,42600,21380,230,124,35.8,186,164,16.8,5700,15.4,9.2,220000,Generic PAX M,GNPM,GNPM,nb,A320
GNPL,242000,129400,109185,242,361.6,60.3,440,300,19.3,11750,15.7,9,600000,Generic PAX L,GNPL,GNPL,wb,A333
GNPXL,351533,167829,145538,248,436.8,64.8,550,408,17.7,13649,16.3,8.4,1026000,Generic PAX XL,GNPXL,GNPXL,wb,B77W
GNCM,68040,31000,15678,221,91.04,28.9,0,0,15.2,4175,18.9,10.2,210000,Generic Cargo M,GNCM,GNCM,cg,B734F
GNCL,186900,86100,60000,245,283.3,47.57,0,0,17,11070,17.1,9.2,520000,Generic Cargo L,GNCL,GNCL,cg,B763F
GNCXL,397000,163701,159400,253,525,64.4,0,0,16.8,13490,17.1,9.2,1080000,Generic Cargo XL ,GNCXL,GNCXL,cg,B744F
