0;2000;4000;6000;8000;10000;12000
1;0.856448598;0.732336449;0.618691589;0.508037383;0.407850467;0.310654206
0.904299065;0.781682243;0.671028037;0.569345794;0.472149533;0.380934579;0.289719626
0.816074766;0.71588785;0.618691589;0.527476636;0.439252336;0.355514019;0.271775701
0.738317757;0.659065421;0.570841121;0.491588785;0.410841121;0.336074766;0.255327103
0.675514019;0.617196262;0.534953271;0.464672897;0.391401869;0.322616822;0.24635514
0.618691589;0.57682243;0.50953271;0.439252336;0.374953271;0.309158879;0.238878505
0.56635514;0.531962617;0.482616822;0.419813084;0.36;0.301682243;0.232897196
0.527476636;0.493084112;0.460186916;0.403364486;0.348037383;0.29271028;0.228411215
0.487102804;0.460186916;0.433271028;0.392897196;0.337570093;0.288224299;0.224925234
0.451214953;0.434766355;0.400373832;0.383925234;0.330093458;0.285233645;0.223925234
